datetime,time_taken,question,answer,correct
2025-02-01 15:25:27,1.85,60 + 61,121,True
2025-02-01 15:25:33,6.57,80 + 31,111,True
2025-02-01 15:25:39,6.15,73 - 44,31,False
2025-02-01 15:25:55,21.96,73 - 44,29,True
2025-02-01 15:26:03,8.25,59 + 48,107,True
2025-02-01 15:27:16,72.31,1092 / 91,12,True
2025-02-01 15:27:17,1.37,2 + 11,13,True
2025-02-01 15:27:21,4.33,97 - 14,83,True
2025-02-01 15:27:24,2.28,71 + 75,146,True
2025-02-01 15:27:26,2.22,902 / 82,12,False
2025-02-01 15:27:28,4.0,902 / 82,11,True
2025-02-01 15:27:32,4.59,80 + 36,116,True
2025-02-01 15:27:34,2.04,165 / 55,11,False
2025-02-01 15:27:40,7.95,165 / 55,12,False
2025-02-01 15:27:44,11.73,165 / 55,3,True
2025-02-01 15:27:54,9.82,120 / 30,40,False
2025-02-01 15:27:55,10.46,120 / 30,4,True
2025-02-01 15:27:57,2.91,63 + 22,85,True
2025-02-01 15:28:01,3.73,82 - 34,42,False
2025-02-01 15:28:04,6.19,82 - 34,52,False
2025-02-01 15:28:11,13.82,82 - 34,48,True
2025-02-01 15:28:16,4.8,3 * 99,297,True
2025-02-01 15:28:20,3.68,6 * 51,306,True
2025-02-01 15:28:27,6.72,4 * 14,56,True
2025-02-01 15:28:31,4.24,192 / 48,16,False
2025-02-01 15:28:34,7.71,192 / 48,8,False
2025-02-01 15:28:39,12.5,192 / 48,4,True
2025-02-01 15:28:45,5.54,25 + 92,117,True
2025-02-01 15:28:47,1.93,35 - 3,33,False
2025-02-01 15:28:50,5.73,35 - 3,32,True
2025-02-01 15:28:54,3.78,84 + 10,94,True
2025-02-01 15:28:59,4.51,32 + 98,130,True
2025-02-01 15:29:02,3.53,31 + 23,34,False
2025-02-01 15:29:04,5.63,31 + 23,53,False
2025-02-01 15:29:07,8.08,31 + 23,54,True
2025-02-01 15:29:14,7.74,408 / 68,8,False
2025-02-01 15:29:20,13.32,408 / 68,6,True
2025-02-01 15:29:21,1.33,40 + 10,50,True
2025-02-01 15:29:24,2.61,168 / 84,2,True
2025-02-01 15:29:38,13.7,5 * 29,145,True
2025-02-01 15:29:44,5.86,73 - 18,55,True
2025-02-01 15:30:10,26.32,2 * 59,118,True
2025-02-01 15:30:18,8.06,6 * 69,415,False
2025-02-01 15:30:34,24.46,6 * 69,414,True
2025-02-02 09:16:09,12.02,258 / 86,3,True
2025-02-02 09:16:17,8.17,75 + 61,136,True
2025-02-02 09:16:30,12.94,2 * 97,194,True
2025-02-02 09:16:39,8.39,73 + 89,162,True
2025-02-02 09:16:40,1.47,7 * 2,14,True
2025-02-02 09:16:43,2.79,67 - 63,4,True
2025-02-02 09:16:57,13.82,474 / 79,6,True
2025-02-02 09:16:59,1.95,86 - 6,80,True
2025-02-02 09:17:02,3.43,38 - 4,34,True
2025-02-02 09:17:04,1.89,39 - 34,35,False
2025-02-02 09:17:08,5.49,39 - 34,5,True
2025-02-02 09:17:09,1.45,100 + 30,130,True
2025-02-02 09:17:39,29.86,656 / 82,6,False
2025-02-02 09:17:44,34.98,656 / 82,8,True
2025-02-02 09:17:48,3.69,96 + 92,188,True
2025-02-02 09:17:53,4.85,94 - 36,58,True
2025-02-02 09:18:03,9.87,322 / 46,12,False
2025-02-02 09:18:23,30.13,322 / 46,6,False
2025-02-02 09:18:32,39.12,322 / 46,8,False
2025-02-02 09:18:34,41.09,322 / 46,7,True
2025-02-02 09:18:37,3.43,513 / 57,9,True
2025-02-02 09:19:24,46.83,12 * 49,438,False
2025-02-02 09:19:41,63.14,12 * 49,588,True
2025-02-02 09:19:48,7.21,77 - 20,57,True
2025-02-02 09:20:08,20.2,308 / 44,7,True
2025-02-02 09:20:10,1.55,80 / 8,10,True
2025-02-02 09:20:13,3.88,63 + 24,87,True
2025-02-02 09:20:27,13.09,7 * 77,569,False
2025-02-02 09:20:46,32.17,7 * 77,549,False
2025-02-02 09:21:05,51.33,7 * 77,569,False
2025-02-02 09:21:12,58.13,7 * 77,539,True
2025-02-02 09:21:16,4.68,312 / 39,8,True
2025-02-02 09:21:20,3.22,86 - 67,21,False
2025-02-02 09:21:27,10.8,86 - 67,19,True
2025-02-02 09:21:30,2.39,43 + 7,50,True
2025-02-02 09:21:35,5.42,46 - 37,11,False
2025-02-02 09:21:37,7.89,46 - 37,9,True
2025-02-02 09:21:52,14.39,83 - 75,8,True
2025-02-02 09:21:53,1.23,11 * 5,55,True
2025-02-02 09:22:00,7.18,7 * 42,294,True
2025-02-02 09:22:04,3.24,32 + 12,44,True
2025-02-02 09:22:12,8.43,8 * 63,418,False
2025-02-02 09:22:13,9.76,8 * 63,438,False
2025-02-02 09:22:37,33.43,8 * 63,498,False
2025-02-02 09:22:58,54.91,8 * 63,504,True
2025-02-02 09:23:02,3.19,68 - 54,14,True
2025-02-02 09:23:12,10.36,72 - 57,15,True
2025-02-02 09:23:25,13.33,84 - 58,54,False
2025-02-02 09:23:33,20.89,84 - 58,26,True
2025-02-02 09:23:36,3.31,63 + 75,138,True
2025-02-02 09:23:38,1.84,108 / 54,2,True
2025-02-02 09:23:43,5.16,74 - 41,27,False
2025-02-02 09:23:50,11.96,74 - 41,33,True
2025-02-02 09:23:53,2.64,405 / 45,9,True
2025-02-02 09:23:55,2.42,99 + 75,174,True
2025-02-02 09:24:15,19.28,9 * 92,928,False
2025-02-02 09:24:17,22.08,9 * 92,828,True
2025-02-02 09:24:20,2.23,54 / 9,5,False
2025-02-02 09:24:21,3.38,54 / 9,6,True
2025-02-02 09:24:29,7.91,8 * 18,864,False
2025-02-02 09:24:37,16.6,8 * 18,144,True
2025-02-02 09:24:40,3.03,11 * 40,484,False
2025-02-02 09:24:43,6.01,11 * 40,440,True
2025-02-02 09:24:45,1.54,18 / 2,9,True
2025-02-02 09:24:59,14.37,372 / 93,4,True
2025-02-02 09:25:07,7.28,98 + 61,159,True
2025-02-02 09:25:11,4.41,19 + 24,43,True
2025-02-02 09:25:58,47.41,11 * 91,1012,False
2025-02-02 09:26:49,97.87,11 * 91,1001,True
2025-02-02 09:27:05,15.89,344 / 86,3,False
2025-02-02 09:27:12,22.93,344 / 86,4,True
2025-02-02 09:27:17,4.72,26 + 83,129,False
2025-02-02 09:27:19,7.41,26 + 83,109,True
2025-02-02 09:27:34,14.97,4 * 77,308,True
2025-02-02 09:27:37,2.46,16 - 2,14,True
2025-02-02 09:27:53,15.86,84 / 12,7,True
2025-02-02 09:27:58,5.65,93 - 23,70,True
2025-02-02 09:28:00,1.51,100 - 96,4,True
2025-02-02 09:28:08,7.84,75 - 58,17,True
2025-02-02 09:28:14,5.91,396 / 33,13,False
2025-02-02 09:28:18,9.81,396 / 33,12,True
2025-02-02 09:28:19,1.36,9 * 10,90,True
2025-02-02 09:29:02,43.39,448 / 64,6,False
2025-02-02 09:29:11,51.88,448 / 64,7,True
2025-02-02 09:29:14,2.7,650 / 65,9,False
2025-02-02 09:29:19,8.37,650 / 65,10,True
2025-02-02 09:29:21,1.94,61 + 60,121,True
2025-02-02 09:29:29,7.74,80 - 57,23,True
2025-02-02 09:29:31,1.89,52 + 3,55,True
2025-02-02 09:29:33,2.22,88 - 70,18,True
2025-02-02 09:29:35,1.6,980 / 98,10,True
2025-02-02 09:30:13,38.29,12 * 28,336,True
2025-02-02 09:30:17,3.71,96 - 54,42,True
2025-02-02 09:30:20,3.45,67 - 35,32,True
2025-02-02 09:30:23,3.02,115 / 23,5,True
2025-02-02 09:30:34,10.66,4 * 96,486,False
2025-02-02 09:30:42,18.51,4 * 96,476,False
2025-02-02 09:30:57,33.89,4 * 96,484,False
2025-02-02 09:31:24,60.63,4 * 96,484,False
2025-02-02 09:31:32,68.92,4 * 96,384,True
2025-02-02 09:31:35,2.73,69 / 23,3,True
2025-02-02 09:31:36,1.47,540 / 54,10,True
2025-02-02 09:31:41,5.03,4 * 22,88,True
2025-02-02 09:31:43,1.57,100 - 2,98,True
2025-02-02 09:31:45,1.6,36 / 4,6,False
2025-02-02 09:32:10,27.26,36 / 4,9,True
2025-02-02 09:32:16,5.64,6 * 66,426,False
2025-02-02 09:32:32,21.46,6 * 66,402,False
2025-02-02 09:32:41,30.52,6 * 66,396,True
2025-02-02 09:32:47,5.79,29 + 73,102,True
2025-02-02 09:32:50,2.92,100 - 41,59,True
2025-02-02 09:32:55,5.82,55 - 48,8,False
2025-02-02 09:33:03,12.97,55 - 48,7,True
2025-02-02 09:33:05,2.87,47 - 2,45,True
2025-02-02 09:33:08,2.56,159 / 53,3,True
2025-02-02 09:33:26,18.12,9 * 53,477,True
2025-02-02 09:33:28,1.83,11 * 55,550,False
2025-02-02 09:33:35,8.34,11 * 55,605,True
2025-02-02 09:33:38,3.02,90 + 86,176,True
2025-02-02 09:33:40,1.88,72 + 2,74,True
2025-02-02 09:33:41,1.41,11 * 5,55,True
2025-02-02 09:33:42,1.43,490 / 49,10,True
2025-02-02 09:33:45,2.14,492 / 41,9,False
2025-02-02 09:33:48,5.13,492 / 41,11,False
2025-02-02 09:33:56,13.86,492 / 41,12,True
2025-02-02 09:33:59,2.25,22 + 42,64,True
2025-02-02 09:34:02,3.08,24 - 16,12,False
2025-02-02 09:34:03,4.25,24 - 16,8,True
2025-02-02 09:34:05,2.43,72 + 12,84,True
2025-02-02 09:34:14,8.43,2 * 27,54,True
2025-02-02 09:34:17,3.68,18 + 84,100,False
2025-02-02 09:34:19,5.36,18 + 84,102,True
2025-02-02 09:34:20,1.28,220 / 22,10,True
2025-02-02 09:34:25,5.07,486 / 54,8,False
2025-02-02 09:34:26,5.64,486 / 54,9,True
2025-02-02 09:34:30,3.49,78 - 17,61,True
2025-02-02 09:34:31,1.9,207 / 23,9,True
2025-02-02 09:34:50,19.03,344 / 86,4,True
2025-02-02 09:34:55,4.46,3 * 65,195,True
2025-02-02 09:34:58,2.73,57 + 55,102,False
2025-02-02 09:35:01,6.44,57 + 55,112,True
2025-02-02 09:35:11,9.99,7 * 88,616,True
2025-02-02 09:35:18,6.54,93 - 65,28,True
2025-02-02 09:35:23,5.13,860 / 86,10,True
2025-02-02 09:35:31,7.85,7 * 69,473,False
2025-02-02 09:35:35,12.17,7 * 69,483,True
2025-02-02 09:35:38,3.12,59 + 8,67,True
2025-02-02 09:35:41,2.28,264 / 22,12,True
2025-02-02 09:35:52,11.58,5 * 76,380,True
2025-02-02 09:36:01,8.42,864 / 72,12,True
2025-02-02 09:36:08,7.36,12 * 60,720,True
2025-02-02 09:36:12,3.46,54 - 27,34,False
2025-02-02 09:36:15,6.99,54 - 27,24,False
2025-02-02 09:36:26,17.95,54 - 27,33,False
2025-02-02 09:36:41,32.88,54 - 27,27,True
2025-02-02 09:36:44,2.59,260 / 65,5,False
2025-02-02 09:36:54,13.1,260 / 65,4,True
2025-02-02 09:36:57,2.66,52 + 7,59,True
2025-02-02 09:37:03,6.15,67 + 87,154,True
2025-02-02 09:37:08,5.22,94 - 8,76,False
2025-02-02 09:37:12,9.35,94 - 8,86,True
2025-02-02 09:37:14,1.8,91 + 3,94,True
2025-02-02 09:37:23,8.95,83 - 17,76,False
2025-02-02 09:37:26,11.96,83 - 17,66,True
2025-02-02 09:37:31,4.35,79 - 46,33,True
2025-02-02 09:37:32,1.4,93 - 93,0,True
2025-02-02 09:37:39,6.57,29 + 51,80,True
2025-02-02 09:37:41,2.44,132 / 11,9,False
2025-02-02 09:37:46,7.25,132 / 11,12,True
2025-02-02 09:37:47,1.25,33 - 33,0,True
2025-02-02 09:37:49,1.69,9 * 11,99,True
2025-02-02 09:38:03,13.96,5 * 17,85,True
2025-02-02 09:38:04,1.6,44 - 30,14,True
2025-02-02 09:38:07,2.4,10 + 6,16,True
2025-02-02 09:38:14,7.17,5 * 91,405,False
2025-02-02 09:38:20,13.14,5 * 91,455,True
2025-02-02 09:38:25,5.13,3 * 61,183,True
2025-02-02 09:38:32,6.52,258 / 86,4,False
2025-02-02 09:38:52,27.2,258 / 86,3,True
2025-02-02 09:38:59,6.81,81 - 40,39,False
2025-02-02 09:39:02,9.87,81 - 40,41,True
2025-02-02 09:39:04,2.23,4 + 61,65,True
2025-02-02 09:39:07,2.69,68 + 65,133,True
2025-02-02 09:39:12,4.49,3 * 45,130,False
2025-02-02 09:39:17,10.33,3 * 45,135,True
2025-02-02 09:39:22,4.41,40 - 13,27,True
2025-02-02 09:39:39,17.47,176 / 44,4,True
2025-02-02 09:39:43,3.16,64 - 55,9,True
2025-02-02 09:39:53,10.04,44 + 59,103,True
2025-02-02 09:39:54,1.74,8 * 7,56,True
2025-02-02 09:39:58,3.39,62 - 5,58,False
2025-02-02 09:40:03,8.6,62 - 5,57,True
2025-02-02 09:40:16,12.87,3 * 89,267,True
2025-02-02 09:40:27,10.88,13 + 87,100,True
2025-02-02 09:40:30,3.03,420 / 70,80,False
2025-02-02 09:40:32,5.21,420 / 70,60,False
2025-02-02 09:40:33,6.24,420 / 70,6,True
2025-02-02 09:40:38,4.64,210 / 70,30,False
2025-02-02 09:40:39,6.15,210 / 70,3,True
2025-02-02 09:40:49,9.45,55 - 40,15,True
2025-02-02 09:40:52,2.87,92 + 4,96,True
2025-02-02 09:40:56,4.25,87 - 35,47,False
2025-02-02 09:40:59,7.31,87 - 35,53,False
2025-02-02 09:41:00,8.86,87 - 35,52,True
2025-02-02 09:41:13,13.0,6 * 48,288,True
2025-02-02 09:41:18,4.26,81 - 13,68,True
2025-02-02 09:41:23,5.0,8 * 40,320,True
2025-02-02 09:41:25,1.79,10 * 16,160,True
2025-02-02 09:41:30,5.22,7 * 30,210,True
2025-02-02 09:41:43,13.53,175 / 25,7,True
2025-02-02 09:41:49,5.74,186 / 31,5,False
2025-02-02 09:41:52,8.94,186 / 31,6,True
2025-02-02 09:41:54,1.76,10 * 18,180,True
2025-02-02 09:41:56,2.33,62 - 2,60,True
2025-02-02 09:42:02,5.68,45 / 9,5,True
2025-02-02 09:42:13,10.7,81 - 36,45,True
2025-02-02 09:42:24,11.19,35 + 98,133,True
2025-02-02 09:42:26,2.33,441 / 49,9,True
2025-02-02 09:42:28,1.84,35 / 7,5,True
2025-02-02 09:43:20,51.89,8 * 97,776,True
2025-02-02 09:43:35,14.45,96 - 39,57,True
2025-02-02 09:43:56,21.08,11 * 61,671,True
2025-02-02 09:44:00,4.34,32 + 19,48,False
2025-02-02 09:44:03,7.3,32 + 19,58,False
2025-02-02 09:44:08,12.68,32 + 19,51,True
2025-02-02 09:44:14,5.46,64 + 8,72,True
2025-02-02 09:44:22,8.36,32 + 89,121,True
2025-02-02 09:44:24,1.92,67 - 63,4,True
2025-02-02 09:44:29,4.93,91 - 45,46,True
2025-02-02 09:44:38,8.76,78 + 21,99,True
2025-02-02 09:44:54,16.21,738 / 82,9,True
2025-02-02 09:44:56,1.93,10 * 86,860,True
2025-02-02 09:44:58,2.04,400 / 40,10,True
2025-02-02 09:45:13,15.22,6 * 28,176,False
2025-02-02 09:45:21,22.72,6 * 28,162,False
2025-02-02 09:45:54,55.69,6 * 28,168,True
2025-02-02 09:46:05,11.05,65 - 19,46,True
2025-02-04 21:45:25,8.8,2 * 35,70,True
2025-02-04 21:45:28,3.26,36 + 21,67,False
2025-02-04 21:45:31,6.2,36 + 21,57,True
2025-02-04 21:45:38,6.99,98 + 88,186,True
2025-02-04 21:45:48,9.97,3 * 89,267,True
2025-02-04 21:45:51,3.49,31 + 43,74,True
2025-02-04 21:45:54,2.97,9 + 45,51,False
2025-02-04 21:45:58,6.38,9 + 45,54,True
2025-02-04 21:46:04,6.26,71 - 9,62,True
2025-02-04 21:46:09,4.93,76 + 43,139,False
2025-02-04 21:46:13,9.23,76 + 43,129,False
2025-02-04 21:46:15,10.54,76 + 43,119,True
2025-02-04 21:46:17,2.71,24 + 88,110,False
2025-02-04 21:46:22,6.91,24 + 88,120,False
2025-02-04 21:46:24,9.23,24 + 88,112,True
2025-02-04 21:46:27,3.58,188 / 47,4,True
2025-02-04 21:46:44,16.47,9 * 32,354,False
2025-02-04 21:46:53,25.37,9 * 32,314,False
2025-02-04 21:47:02,34.06,9 * 32,318,False
2025-02-04 21:47:09,41.61,9 * 32,288,True
2025-02-04 21:47:11,2.32,34 + 63,97,True
2025-02-04 21:47:18,6.66,7 * 53,365,False
2025-02-04 21:47:28,16.33,7 * 53,365,False
2025-02-04 21:47:38,26.19,7 * 53,371,True
2025-02-04 21:47:41,2.99,74 + 61,135,True
2025-02-04 21:47:44,2.92,2 + 37,39,True
2025-02-04 21:47:48,4.85,517 / 47,11,True
2025-02-04 21:47:52,3.5,100 - 18,92,False
2025-02-04 21:47:54,5.44,100 - 18,82,True
2025-02-04 21:48:02,8.22,4 * 65,250,False
2025-02-04 21:48:11,16.63,4 * 65,260,True
2025-02-04 21:48:14,3.79,38 + 63,101,True
2025-02-04 21:48:19,4.58,558 / 93,6,True
2025-02-04 21:48:23,4.1,66 + 72,138,True
2025-02-04 21:48:26,2.42,300 / 50,6,True
2025-02-04 21:48:34,8.19,630 / 90,7,True
2025-02-04 21:48:48,14.15,511 / 73,7,True
2025-02-04 21:49:09,20.95,84 + 91,165,False
2025-02-04 21:49:10,22.5,84 + 91,175,True
2025-02-04 21:49:12,1.75,89 - 85,4,True
2025-02-04 21:49:17,4.46,84 + 86,170,True
2025-02-04 21:49:24,7.44,6 * 47,268,False
2025-02-04 21:49:36,19.64,6 * 47,282,True
2025-02-04 21:49:39,3.02,65 + 50,135,False
2025-02-04 21:49:43,6.81,65 + 50,125,False
2025-02-04 21:49:45,8.64,65 + 50,115,True
2025-02-04 21:49:59,14.03,12 * 40,480,True
2025-02-04 21:50:24,25.44,336 / 48,6,False
2025-02-04 21:50:53,53.45,336 / 48,7,True
2025-02-04 21:50:58,5.63,12 * 11,121,False
2025-02-04 21:51:04,10.98,12 * 11,131,False
2025-02-04 21:51:09,16.79,12 * 11,132,True
2025-02-04 21:51:18,8.87,88 + 17,105,True
2025-02-04 21:51:37,18.7,92 - 57,45,False
2025-02-04 21:51:41,23.08,92 - 57,35,True
2025-02-04 21:51:51,9.91,480 / 60,8,True
2025-02-04 21:51:52,1.1,4 / 2,2,True
2025-02-04 21:51:58,5.12,73 + 23,96,True
2025-02-04 21:51:59,1.81,53 - 33,20,True
2025-02-04 21:52:03,3.56,76 - 41,35,True
2025-02-04 21:52:05,2.38,255 / 51,5,True
2025-02-04 21:52:08,2.46,77 - 69,16,False
2025-02-04 21:52:11,5.41,77 - 69,7,False
2025-02-04 21:52:11,5.95,77 - 69,,False
2025-02-04 21:52:13,7.55,77 - 69,8,True
2025-02-04 21:52:27,14.53,9 * 82,734,False
2025-02-04 21:52:41,27.77,9 * 82,738,True
2025-02-04 21:52:44,2.95,29 - 23,7,False
2025-02-04 21:52:44,3.53,29 - 23,6,True
2025-02-04 21:52:51,6.74,76 - 37,39,True
2025-02-04 21:52:55,4.43,89 - 75,14,True
2025-02-04 21:52:57,1.53,19 - 4,15,True
2025-02-04 21:53:02,5.51,71 + 89,160,True
2025-02-04 21:53:10,7.85,4 * 61,244,True
2025-02-04 21:53:16,5.98,69 + 90,161,False
2025-02-04 21:53:24,13.77,69 + 90,150,False
2025-02-04 21:53:25,14.78,69 + 90,150,False
2025-02-04 21:53:28,17.22,69 + 90,159,True
2025-02-04 21:53:33,5.77,68 - 24,44,True
2025-02-04 21:53:38,5.06,4 * 81,324,True
2025-02-04 21:53:44,5.05,792 / 88,8,False
2025-02-04 21:53:46,7.08,792 / 88,9,True
2025-02-04 21:53:51,5.85,88 - 22,66,True
2025-02-04 21:53:53,1.57,32 - 31,1,True
2025-02-04 21:53:58,5.04,340 / 68,5,True
2025-02-04 21:54:01,2.89,79 - 33,45,False
2025-02-04 21:54:06,7.84,79 - 33,46,True
2025-02-04 21:54:08,1.94,192 / 48,4,True
2025-02-04 21:54:11,3.46,53 - 42,9,False
2025-02-04 21:54:13,4.6,53 - 42,11,True
2025-02-04 21:54:15,2.27,38 - 33,5,True
2025-02-04 21:54:16,1.56,90 / 9,10,True
2025-02-04 21:54:29,12.88,434 / 62,7,True
2025-02-04 21:54:34,4.25,81 + 44,124,False
2025-02-04 21:54:35,5.41,81 + 44,125,True
2025-02-04 21:54:43,8.32,7 * 29,203,True
2025-02-04 21:54:46,3.18,32 - 5,28,False
2025-02-04 21:54:47,4.15,32 - 5,27,True
2025-02-04 21:54:51,3.95,96 - 58,51,False
2025-02-04 21:54:54,6.36,96 - 58,41,False
2025-02-04 21:55:03,15.73,96 - 58,38,True
2025-02-04 21:55:05,2.51,11 * 12,132,True
2025-02-04 21:55:13,7.66,110 / 55,2,True
2025-02-04 21:55:15,2.15,130 / 13,10,True
2025-02-04 21:55:22,6.68,7 * 83,581,True
2025-02-04 21:55:28,5.89,83 + 78,161,True
2025-02-04 21:55:34,5.56,77 - 45,32,True
2025-02-04 21:55:39,5.16,68 - 46,38,False
2025-02-04 21:55:41,7.25,68 - 46,28,False
2025-02-04 21:55:44,10.31,68 - 46,18,False
2025-02-04 21:55:50,16.43,68 - 46,22,True
2025-02-04 21:55:57,7.0,54 - 37,14,False
2025-02-04 21:56:08,18.08,54 - 37,17,True
2025-02-04 21:56:10,1.85,16 / 2,8,True
2025-02-04 21:56:15,4.87,87 - 8,79,True
2025-02-04 21:56:17,2.24,92 - 85,7,True
2025-02-04 21:56:26,9.12,6 * 28,272,False
2025-02-04 21:56:36,18.43,6 * 28,152,False
2025-02-04 21:56:49,32.04,6 * 28,162,False
2025-02-04 21:57:00,43.04,6 * 28,168,True
2025-02-04 21:57:04,3.81,38 - 32,6,True
2025-02-04 21:57:07,3.04,83 - 63,20-,False
2025-02-04 21:57:08,4.12,83 - 63,20,True
2025-02-04 21:57:15,7.02,4 * 77,308,True
2025-02-04 21:57:24,8.65,9 * 27,243,True
2025-02-04 21:57:52,28.41,78 + 87,165,True
2025-02-04 21:57:59,6.52,162 / 18,9,True
2025-02-04 21:58:06,7.39,3 * 14,42,True
2025-02-04 21:58:07,1.19,88 / 44,2,True
2025-02-04 21:58:12,4.63,11 * 46,506,True
2025-02-04 21:58:19,7.24,12 * 22,264,True
2025-02-04 21:58:24,4.88,63 - 28,35,True
2025-02-04 21:58:38,13.43,238 / 34,6,False
2025-02-04 21:59:01,36.92,238 / 34,7,True
2025-02-04 21:59:03,1.74,89 - 86,3,True
2025-02-04 21:59:15,11.82,1008 / 84,12,True
2025-02-04 21:59:27,12.3,87 - 69,18,True
2025-02-04 21:59:36,8.87,7 * 41,287,True
2025-02-04 21:59:43,7.35,3 * 29,207,False
2025-02-04 21:59:55,19.49,3 * 29,81,False
2025-02-04 22:00:07,31.22,3 * 29,87,True
2025-02-04 22:00:09,1.95,10 * 58,580,True
2025-02-04 22:00:25,15.76,186 / 31,6,True
2025-02-04 22:00:36,10.56,8 * 14,102,False
2025-02-04 22:00:39,14.1,8 * 14,112,True
2025-02-04 22:00:44,5.21,360 / 45,6,False
2025-02-04 22:00:52,12.61,360 / 45,8,True
2025-02-04 22:00:53,1.45,98 - 94,4,True
2025-02-04 22:00:58,5.31,57 - 32,25,True
2025-02-04 22:01:00,1.37,21 / 7,3,True
2025-02-04 22:01:02,2.32,94 - 63,31,True
2025-02-04 22:01:06,3.5,72 + 74,146,True
2025-02-04 22:01:09,3.19,232 / 29,8,True
2025-02-04 22:01:14,4.86,5 * 18,90,True
2025-02-04 22:01:17,3.24,90 - 84,6,True
2025-02-04 22:01:19,2.18,10 * 87,870,True
2025-02-04 22:01:23,3.36,68 + 18,90,False
2025-02-04 22:01:30,11.2,68 + 18,86,True
2025-02-04 22:01:36,5.2,47 + 52,99,True
2025-02-04 22:01:39,3.48,81 + 61,142,True
2025-02-04 22:01:42,2.71,52 - 10,42,True
2025-02-04 22:01:47,4.58,99 - 87,12,True
2025-02-04 22:01:48,1.7,10 * 99,990,True
2025-02-04 22:01:50,1.56,2 * 45,90,True
2025-02-04 22:01:51,1.36,106 / 53,2,True
2025-02-04 22:01:52,1.03,96 - 96,0,True
2025-02-04 22:01:54,1.38,495 / 45,10,False
2025-02-04 22:01:55,2.82,495 / 45,11,True
2025-02-04 22:02:02,6.77,9 * 57,703,False
2025-02-04 22:02:04,9.0,9 * 57,603,False
2025-02-04 22:02:17,21.57,9 * 57,513,True
2025-02-04 22:02:26,9.55,1034 / 94,11,True
2025-02-04 22:02:28,1.74,59 - 57,2,True
2025-02-04 22:02:37,9.02,12 * 23,276,True
2025-02-04 22:02:53,15.72,12 * 15,180,True
2025-02-04 22:02:55,2.43,57 - 8,51,False
2025-02-04 22:02:57,4.28,57 - 8,49,True
2025-02-04 22:03:00,2.89,83 - 20,63,True
2025-02-04 22:03:07,7.54,37 + 87,114,False
2025-02-04 22:03:12,11.78,37 + 87,124,True
2025-02-04 22:03:16,4.38,62 + 73,134,False
2025-02-04 22:03:17,5.56,62 + 73,135,True
2025-02-04 22:03:23,5.52,100 - 34,64,False
2025-02-04 22:03:27,9.48,100 - 34,66,True
